learner_id,course_track,weekly_login_hours,forum_posts,completion_pct
1,Data Science,8.4,9.0,94.5
2,Data Science,8.0,3.0,83.3
3,Design,8.4,3.0,100.0
4,Web Dev,7.9,1.0,78.1
5,Data Science,4.9,6.0,70.9
6,Web Dev,3.2,0.0,47.2
7,Design,9.0,5.0,100.0
8,Data Science,5.7,3.0,92.2
9,Web Dev,6.3,8.0,80.8
10,Data Science,4.8,3.0,92.5
11,Web Dev,7.2,1.0,100.0
12,Web Dev,9.3,6.0,98.8
13,Web Dev,5.0,1.0,48.9
14,Web Dev,6.4,6.0,72.2
15,Web Dev,6.1,3.0,69.0
16,Design,7.6,2.0,100.0
17,Design,6.0,3.0,71.8
18,Web Dev,6.1,3.0,79.8
19,Data Science,4.5,0.0,47.3
20,Data Science,6.1,5.0,85.3
21,Data Science,4.2,3.0,81.6
22,Web Dev,7.8,2.0,88.2
23,Design,5.7,7.0,59.1
24,Web Dev,10.1,4.0,100.0
25,Design,4.3,9.0,59.4
26,Data Science,3.5,0.0,57.6
27,Web Dev,8.3,8.0,91.9
28,Web Dev,7.6,4.0,89.3
29,Web Dev,2.6,9.0,33.4
30,Design,12.5,4.0,100.0
31,Design,5.6,2.0,64.2
32,Design,8.8,2.0,91.6
33,Web Dev,5.0,5.0,41.7
34,Web Dev,7.7,0.0,86.9
35,Data Science,8.8,3.0,100.0
36,Design,4.8,1.0,45.8
37,Design,6.9,11.0,96.8
38,Design,8.2,5.0,86.4
39,Design,11.1,3.0,100.0
40,Data Science,8.5,0.0,100.0
41,Design,9.5,3.0,100.0
42,Design,7.5,2.0,94.3
43,Web Dev,7.8,3.0,98.1
44,Design,7.5,4.0,57.3
45,Data Science,5.6,1.0,72.5
46,Data Science,1.6,0.0,49.6
47,Data Science,1.9,3.0,48.1
48,Design,7.0,3.0,88.5
49,Web Dev,7.3,3.0,83.7
50,Web Dev,6.2,3.0,68.6
51,Web Dev,4.6,5.0,44.1
52,Web Dev,4.8,1.0,81.0
53,Design,2.9,6.0,48.4
54,Data Science,8.9,2.0,100.0
